Date,SPO ID,Unit Type,University,Society,Member Count,Requirements Met,Members Met,Events Met,Officers Status,Overall Vitality
2026-08-13,SBA64411,Affinity Group,Antonio Narino University,WIE,38,2,Yes,No,Met,Not Met
2026-08-13,SBA60236869,Affinity Group,Corporación Universitaria del Huila – CORHUILA,WIE,8,2,Yes,No,Met,Not Met
2026-08-13,SBA27011,Affinity Group,Escuela Colombiana De Ingenieria Julio Garavito,WIE,3,0,No,No,Partial,Not Met
2026-08-13,SBA05421,Affinity Group,Escuela Colombiana de Carreras Industriales,WIE,16,3,Yes,Yes,Met,Met
2026-08-13,SBA13041,Affinity Group,Escuela Tecnologica Instituto Tecnico Central,WIE,5,1,No,No,Met,Not Met
2026-08-13,SBA63981,Affinity Group,Granada Univ Militar Nueva,WIE,7,1,Yes,No,Not Met,Not Met
2026-08-13,SBA02571,Affinity Group,Icesi University,WIE,11,3,Yes,Yes,Met,Met
2026-08-13,SBA03103,Affinity Group,Institucion Universitaria CESMAG,WIE,0,0,No,No,Not Met,Not Met
2026-08-13,SBA04591,Affinity Group,Pontificia Univ Javeriana Sede Bogota,WIE,6,2,Yes,Yes,Partial,Not Met
2026-08-13,SBA62391,Affinity Group,Univ Cooperativa De Colombia Sede Bogota,WIE,0,0,No,No,Not Met,Not Met
2026-08-13,SBA18011,Affinity Group,Univ Distrital Francisco Jose de Caldas - Bolivar,WIE,20,1,Yes,No,Not Met,Not Met
2026-08-13,SBA04331,Affinity Group,Universidad Distrital Francisco Jose de Caldas,WIE,18,1,Yes,No,Not Met,Not Met
2026-08-13,SBA60951,Affinity Group,Universidad El Bosque,WIE,0,0,No,No,Not Met,Not Met
2026-08-13,SBA61301,Affinity Group,Universidad Nacional sede Manizales,WIE,1,1,No,Yes,Not Met,Not Met
2026-08-13,SBA09021,Affinity Group,Univ Pontificia Bolivariana (UPB),WIE,0,0,No,No,Not Met,Not Met
2026-08-13,SBA09851,Affinity Group,Univ Santo Tomas De Aquino,WIE,0,0,No,No,Not Met,Not Met
2026-08-13,SBA04331S,Affinity Group,Universidad Distrital Francisco Jose de Caldas,SIGHT,43,1,Yes,No,Not Met,Not Met
2026-08-13,SBA29341,Affinity Group,Universidad Autonoma de Occidente,WIE,0,0,No,No,Not Met,Not Met
2026-08-13,SBA62201S,Affinity Group,Universidad Catolica de Colombia,SIGHT,0,0,No,No,Not Met,Not Met
2026-08-13,SBA62201,Affinity Group,Universidad Catolica de Colombia,WIE,0,0,No,No,Not Met,Not Met
